Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -58
1.3000,-71139562.5000,72387625.0000,1,115,116,-0.982759,9.98450000,7.3600,0.890000,-0.110000,1.000000,0.025000,0.000500,-0.000100,16.97,0.00091,48.06,5.94,ACCELERATION
1.3050,-345064718.7500,350053606.2500,3,418,421,-0.985748,13.30370000,7.1000,0.830000,-0.160000,0.990000,0.021100,0.000600,-0.000200,21.43,0.00099,52.86,7.50,ACCELERATION
1.3100,-278735137.5000,369486112.5000,42,300,342,-0.754386,17.28590000,6.6400,0.770000,-0.230000,1.000000,0.017400,0.000800,-0.000200,20.41,0.00100,47.50,7.14,ACCELERATION
1.3150,-551383312.5000,554047000.0000,1,415,416,-0.995192,21.30950000,6.3700,0.680000,-0.310000,0.990000,0.014700,0.000900,-0.000200,25.68,0.00108,57.87,8.99,ACCELERATION
1.3175,-636973087.5000,636973087.5000,0,443,443,-1.000000,23.00580000,6.2600,0.630000,-0.370000,1.000000,0.013700,0.001000,-0.000200,27.15,0.00112,59.58,9.50,ACCELERATION
1.3200,-280020881.2500,1819370643.7500,503,686,1189,-0.153911,24.48270000,6.1200,0.570000,-0.420000,0.990000,0.012900,0.001000,-0.000200,26.95,0.00113,42.59,9.43,ACCELERATION
1.3250,-2793042037.5000,2796256125.0000,1,1739,1740,-0.998851,25.71270000,5.8800,0.450000,-0.550000,1.000000,0.012400,0.001000,-0.000200,53.92,0.00147,86.76,18.87,ACCELERATION
1.3300,-3329056500.0000,3347051400.0000,6,2226,2232,-0.994624,23.99320000,5.6900,0.320000,-0.680000,1.000000,0.013200,0.000900,-0.000200,59.98,0.00153,93.01,20.99,ACCELERATION
1.3325,-763194437.5000,763194437.5000,0,557,557,-1.000000,21.92300000,5.6600,0.260000,-0.740000,1.000000,0.014200,0.000800,-0.000200,27.95,0.00111,61.23,9.78,ACCELERATION
1.3350,-3510534512.5000,3639696837.5000,53,2934,2987,-0.964513,19.49620000,5.5900,0.210000,-0.790000,1.000000,0.015500,0.000700,-0.000100,62.22,0.00154,94.94,21.78,ACCELERATION
1.3375,-329330531.2500,339785468.7500,5,320,325,-0.969231,16.72790000,5.4700,0.160000,-0.840000,1.000000,0.016900,0.000600,-0.000100,20.99,0.00097,53.95,7.35,ACCELERATION
1.3400,-3446651993.7500,4846827256.2500,807,4780,5587,-0.711115,13.88030000,5.5100,0.120000,-0.880000,1.000000,0.018800,0.000500,-0.000100,69.38,0.00166,97.31,24.28,ACCELERATION
1.3425,-222665250.0000,255285000.0000,23,337,360,-0.872222,11.34600000,5.6100,0.090000,-0.910000,1.000000,0.020800,0.000400,-0.000100,17.85,0.00090,49.15,6.25,ACCELERATION
1.3450,-1126947200.0000,1215683200.0000,80,2112,2192,-0.927007,8.87360000,5.5600,0.070000,-0.930000,1.000000,0.022900,0.000300,-0.000100,31.26,0.00109,63.80,10.94,ACCELERATION
1.3475,143560212.5000,361983112.5000,574,248,822,0.396594,7.04590000,5.6800,0.050000,-0.950000,1.000000,0.025200,0.000300,-0.000100,14.75,0.00085,25.76,14.75,RESIST/SUPPORT
1.3500,248246687.5000,752031687.5000,1509,760,2269,0.330101,5.30300000,5.6800,0.040000,-0.960000,1.000000,0.027500,0.000200,0.000000,19.41,0.00093,25.74,19.41,RESIST/SUPPORT
1.3525,66886950.0000,71174575.0000,322,10,332,0.939759,3.43010000,5.4500,0.020000,-0.980000,1.000000,0.029800,0.000100,0.000000,14.34,0.00080,36.81,14.34,RESIST/SUPPORT
1.3550,-156316875.0000,666004625.0000,1345,2170,3515,-0.234708,3.03160000,5.8300,0.020000,-0.980000,1.000000,0.032300,0.000100,0.000000,20.10,0.00096,39.36,7.03,ACCELERATION
1.3600,277510200.0000,854135012.5000,3719,1895,5614,0.324902,2.43430000,6.5700,0.020000,-0.980000,1.000000,0.037300,0.000100,0.000000,26.74,0.00111,28.04,26.74,RESIST/SUPPORT
1.3625,46003950.0000,46003950.0000,333,0,333,1.000000,2.21040000,6.9500,0.020000,-0.980000,1.000000,0.039700,0.000100,0.000000,14.65,0.00082,38.66,14.65,RESIST/SUPPORT
