Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 9
NaN,NaN,NaN
1.2700,12684.5000,12684.5000
1.2800,117279.4800,117279.4800
1.2850,49162.4000,49162.4000
1.2900,91606.1400,91606.1400
1.2950,152093.1000,152093.1000
1.3025,0.0000,0.0000
1.3050,470889.8800,470889.8800
1.3100,-1494117.1000,1540303.1000
1.3150,-1776585.6900,1878590.6100
1.3175,-921807.1100,933663.1500
1.3225,-1205662.4700,1217453.7900
1.3275,-865782.7200,895298.0400
1.3300,-2001866.4100,2065552.5100
1.3325,-329714.6000,600427.6400
1.3350,668756.4000,671491.6000
1.3375,-230612.8200,247854.9000
1.3400,475224.1600,478479.1200
1.3425,213021.1600,213021.1600
1.3450,299500.5200,399180.2000
1.3475,144608.1400,144608.1400
1.3500,234675.5400,272447.4600
1.3525,109039.0400,109039.0400
1.3550,-99219.7000,99774.0000
1.3575,81295.5000,81295.5000
1.3600,104199.5800,104654.6000
