Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -16
1.3200,22547593.7500,314656718.7500,501,434,935,0.071658,5.38450000,6.4000,0.930000,-0.070000,1.000000,0.037600,0.000500,-0.000100,13.71,0.00089,16.65,13.71,RESIST/SUPPORT
1.3250,-410958000.0000,411825000.0000,1,949,950,-0.997895,6.93600000,6.1400,0.900000,-0.090000,0.990000,0.033100,0.000700,-0.000100,23.74,0.00102,55.75,8.31,ACCELERATION
1.3300,-715617306.2500,718963918.7500,3,1286,1289,-0.995345,8.92430000,5.9800,0.870000,-0.130000,1.000000,0.029000,0.000800,-0.000100,28.80,0.00110,61.03,10.08,ACCELERATION
1.3350,-2019510537.5000,2096671412.5000,55,2934,2989,-0.963198,11.22340000,5.7400,0.830000,-0.170000,1.000000,0.025100,0.001000,-0.000100,49.55,0.00140,81.41,17.34,ACCELERATION
1.3400,-1992757331.2500,3365716693.7500,803,3134,3937,-0.592075,13.67830000,5.6500,0.770000,-0.230000,1.000000,0.022000,0.001200,-0.000100,54.10,0.00150,78.79,18.93,ACCELERATION
1.3425,-281928243.7500,281928243.7500,0,303,303,-1.000000,14.88730000,5.5900,0.730000,-0.260000,0.990000,0.020600,0.001300,-0.000100,22.75,0.00105,55.74,7.96,ACCELERATION
1.3450,-1663682775.0000,1787808325.0000,62,1724,1786,-0.930571,16.01620000,5.5400,0.700000,-0.300000,1.000000,0.019400,0.001400,-0.000100,43.49,0.00134,75.23,15.22,ACCELERATION
1.3500,659420368.7500,2399023331.2500,1352,769,2121,0.274870,18.09730000,5.3800,0.620000,-0.380000,1.000000,0.017400,0.001500,-0.000100,33.92,0.00125,27.37,33.92,RESIST/SUPPORT
1.3550,-1211070900.0000,3735926800.0000,1057,2071,3128,-0.324169,19.10960000,5.3200,0.520000,-0.470000,0.990000,0.016500,0.001600,-0.000100,45.99,0.00143,66.13,16.10,ACCELERATION
1.3600,2070411656.2500,6432173906.2500,3579,1836,5415,0.321884,19.00550000,5.2700,0.430000,-0.570000,1.000000,0.016700,0.001500,-0.000100,67.41,0.00174,37.22,67.41,RESIST/SUPPORT
1.3650,1677469500.0000,1679688375.0000,1513,1,1514,0.998679,17.75100000,5.2400,0.330000,-0.660000,0.990000,0.017800,0.001400,-0.000100,42.65,0.00133,44.83,42.65,RESIST/SUPPORT
1.3700,2467280862.5000,2476971675.0000,2551,5,2556,0.996088,15.50530000,5.2600,0.250000,-0.740000,0.990000,0.020000,0.001200,-0.000100,53.36,0.00146,47.73,53.36,RESIST/SUPPORT
1.3750,1503473400.0000,1503473400.0000,1872,0,1872,1.000000,12.85020000,5.2400,0.180000,-0.820000,1.000000,0.022800,0.001000,-0.000100,39.20,0.00126,44.53,39.20,RESIST/SUPPORT
1.3800,169639806.2500,169639806.2500,269,0,269,1.000000,10.09010000,5.3400,0.130000,-0.870000,1.000000,0.026500,0.000800,-0.000100,18.81,0.00095,39.70,18.81,RESIST/SUPPORT
