Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP 11
1.3100,-25965656.2500,27982406.2500,4,107,111,-0.927928,4.03350000,6.6200,0.950000,-0.050000,1.000000,0.040000,0.000300,0.000000,16.13,0.00086,45.94,5.65,ACCELERATION
1.3150,-489435925.0000,490085475.0000,1,1508,1509,-0.998675,5.19640000,6.1800,0.940000,-0.060000,1.000000,0.035200,0.000400,0.000000,33.00,0.00117,64.49,11.55,ACCELERATION
1.3200,-482341500.0000,499312775.0000,19,1099,1118,-0.966011,7.14580000,6.0300,0.910000,-0.080000,0.990000,0.030800,0.000600,-0.000100,30.75,0.00114,61.86,10.76,ACCELERATION
1.3250,-263717900.0000,267289700.0000,3,446,449,-0.986637,9.52480000,5.8300,0.880000,-0.120000,1.000000,0.026600,0.000700,-0.000100,23.55,0.00102,55.33,8.24,ACCELERATION
1.3300,-931989262.5000,962901012.5000,20,1226,1246,-0.967897,12.36470000,5.6700,0.830000,-0.170000,1.000000,0.022800,0.000900,-0.000100,40.66,0.00129,72.34,14.23,ACCELERATION
1.3350,-1912709418.7500,1926172431.2500,7,1996,2003,-0.993010,15.38630000,5.5600,0.760000,-0.230000,0.990000,0.019600,0.001100,-0.000100,62.77,0.00162,95.22,21.97,ACCELERATION
1.3400,-1340497725.0000,1984213500.0000,279,1441,1720,-0.675581,18.45780000,5.3500,0.690000,-0.310000,1.000000,0.016900,0.001300,-0.000100,55.29,0.00154,81.66,19.35,ACCELERATION
1.3450,825910406.2500,1307371356.2500,833,188,1021,0.631734,20.48770000,5.2900,0.590000,-0.410000,1.000000,0.015400,0.001400,-0.000100,41.20,0.00134,36.06,41.20,RESIST/SUPPORT
1.3500,468130250.0000,645039937.5000,409,65,474,0.725738,21.77350000,5.1100,0.480000,-0.510000,0.990000,0.014600,0.001400,-0.000100,30.20,0.00118,35.46,30.20,RESIST/SUPPORT
1.3550,1692326812.5000,1799901075.0000,1331,41,1372,0.940233,20.99010000,5.0500,0.380000,-0.620000,1.000000,0.015100,0.001400,-0.000100,56.41,0.00154,46.57,56.41,RESIST/SUPPORT
1.3600,2486767968.7500,2592089906.2500,2170,45,2215,0.959368,18.72390000,4.9700,0.270000,-0.720000,0.990000,0.016700,0.001200,-0.000100,73.53,0.00178,51.50,73.53,RESIST/SUPPORT
1.3650,815698100.0000,815698100.0000,854,0,854,1.000000,15.28240000,4.9000,0.190000,-0.810000,1.000000,0.019300,0.001000,-0.000100,35.74,0.00122,43.13,35.74,RESIST/SUPPORT
1.3700,81738712.5000,91776800.0000,121,7,128,0.890625,11.47210000,4.9500,0.120000,-0.870000,0.990000,0.022900,0.000700,-0.000100,17.45,0.00092,36.64,17.45,RESIST/SUPPORT
1.3800,40497775.0000,44687200.0000,122,6,128,0.906250,5.58590000,5.1600,0.050000,-0.950000,1.000000,0.031500,0.000400,0.000000,15.06,0.00084,36.89,15.06,RESIST/SUPPORT
