Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP 3
1.3250,-86707500.0000,87889875.0000,3,443,446,-0.986547,3.15300000,10.9200,0.980000,-0.020000,1.000000,0.029200,0.000100,-0.000100,16.45,0.00086,48.34,5.76,ACCELERATION
1.3300,-304119750.0000,314624750.0000,20,1178,1198,-0.966611,4.20200000,9.2800,0.980000,-0.020000,1.000000,0.024200,0.000100,-0.000100,20.56,0.00093,52.32,7.19,ACCELERATION
1.3350,-750859500.0000,756136625.0000,7,1999,2006,-0.993021,6.03100000,7.6500,0.970000,-0.030000,1.000000,0.019200,0.000100,-0.000100,27.09,0.00103,59.65,9.48,ACCELERATION
1.3375,-238391400.0000,238391400.0000,0,507,507,-1.000000,7.52320000,6.8300,0.970000,-0.030000,1.000000,0.016700,0.000100,-0.000100,17.16,0.00084,50.00,6.01,ACCELERATION
1.3400,-2156008500.0000,2588772525.0000,277,3037,3314,-0.832830,12.49860000,6.8400,0.950000,-0.050000,1.000000,0.014400,0.000100,-0.000100,44.12,0.00130,73.75,15.44,ACCELERATION
1.3425,-463725281.2500,463725281.2500,0,385,385,-1.000000,19.27170000,6.9600,0.900000,-0.100000,1.000000,0.012300,0.000200,-0.000200,19.93,0.00091,53.04,6.98,ACCELERATION
1.3450,394105818.7500,2349668868.7500,825,588,1413,0.167728,26.60630000,6.6400,0.860000,-0.140000,1.000000,0.010300,0.000300,-0.000300,24.70,0.00104,22.77,24.70,RESIST/SUPPORT
1.3475,-338669187.5000,338669187.5000,0,155,155,-1.000000,34.95940000,6.5900,0.780000,-0.220000,1.000000,0.008600,0.000400,-0.000400,20.18,0.00096,53.56,7.06,ACCELERATION
1.3500,-503791462.5000,2605631112.5000,388,574,962,-0.193347,43.33690000,6.3500,0.690000,-0.310000,1.000000,0.007300,0.000500,-0.000500,26.81,0.00110,44.20,9.39,ACCELERATION
1.3525,-1220551268.7500,1275339106.2500,9,410,419,-0.957041,48.70030000,6.2700,0.570000,-0.420000,0.990000,0.006500,0.000500,-0.000500,30.03,0.00113,62.82,10.51,ACCELERATION
1.3550,4000477218.7500,4593376631.2500,1348,93,1441,0.870923,51.00210000,6.0500,0.450000,-0.550000,1.000000,0.006200,0.000500,-0.000500,57.35,0.00150,45.54,57.35,RESIST/SUPPORT
1.3575,1524574950.0000,1695236325.0000,566,30,596,0.899329,45.50970000,6.2100,0.330000,-0.670000,1.000000,0.007000,0.000500,-0.000500,32.48,0.00116,40.02,32.48,RESIST/SUPPORT
1.3600,4223233650.0000,7496948325.0000,2481,693,3174,0.563327,37.79180000,6.2200,0.230000,-0.770000,1.000000,0.008100,0.000400,-0.000400,68.99,0.00167,42.57,68.99,RESIST/SUPPORT
1.3625,729249062.5000,732806375.0000,411,1,412,0.995146,28.45850000,6.1200,0.140000,-0.860000,1.000000,0.009600,0.000300,-0.000300,22.89,0.00097,39.81,22.89,RESIST/SUPPORT
1.3650,1205687025.0000,1218091212.5000,977,5,982,0.989817,19.84670000,6.3300,0.090000,-0.910000,1.000000,0.011700,0.000200,-0.000200,27.47,0.00102,40.99,27.47,RESIST/SUPPORT
1.3750,214509500.0000,215038500.0000,812,1,813,0.997540,4.23200000,7.6200,0.020000,-0.980000,1.000000,0.021100,0.000100,0.000000,17.25,0.00085,39.13,17.25,RESIST/SUPPORT
1.3775,51245156.2500,51245156.2500,225,0,225,1.000000,3.64410000,8.4200,0.020000,-0.980000,1.000000,0.023600,0.000100,0.000000,13.98,0.00079,38.49,13.98,RESIST/SUPPORT
