Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -50
1.3150,-224044600.0000,225121737.5000,1,417,418,-0.995215,8.61710000,5.6900,0.920000,-0.080000,1.000000,0.025000,0.000400,-0.000100,18.31,0.00093,50.38,6.41,ACCELERATION
1.3200,58064062.5000,716123437.5000,500,425,925,0.081081,12.38700000,5.4600,0.880000,-0.120000,1.000000,0.020800,0.000600,-0.000100,14.86,0.00091,17.79,14.86,RESIST/SUPPORT
1.3250,-1329850925.0000,1331975287.5000,1,1253,1254,-0.998405,16.99490000,5.3300,0.810000,-0.190000,1.000000,0.017200,0.000800,-0.000100,27.79,0.00110,60.49,9.73,ACCELERATION
1.3300,-1805920837.5000,1814092425.0000,3,1329,1332,-0.995495,21.79090000,5.1500,0.720000,-0.280000,1.000000,0.014200,0.001000,-0.000100,31.57,0.00118,64.50,11.05,ACCELERATION
1.3325,-540702112.5000,540702112.5000,0,363,363,-1.000000,23.83260000,5.0900,0.660000,-0.340000,1.000000,0.013200,0.001100,-0.000200,23.05,0.00107,56.21,8.07,ACCELERATION
1.3350,-4539289825.0000,4702981275.0000,52,2936,2988,-0.965194,25.18330000,5.0900,0.600000,-0.400000,1.000000,0.012500,0.001200,-0.000200,50.79,0.00147,83.39,17.78,ACCELERATION
1.3375,-522128250.0000,538703750.0000,5,320,325,-0.969231,26.52080000,4.9700,0.540000,-0.460000,1.000000,0.011900,0.001200,-0.000200,23.28,0.00109,56.11,8.15,ACCELERATION
1.3400,-6947437187.5000,9612574537.5000,796,4946,5742,-0.722745,26.78530000,4.9300,0.470000,-0.530000,1.000000,0.011900,0.001200,-0.000200,73.93,0.00182,100.00,25.87,ACCELERATION
1.3425,-520441262.5000,593369337.5000,22,336,358,-0.877095,26.51930000,4.8400,0.400000,-0.600000,1.000000,0.012000,0.001200,-0.000200,22.77,0.00108,54.04,7.97,ACCELERATION
1.3450,-2924166262.5000,3169155487.5000,78,1940,2018,-0.922696,25.12710000,4.8200,0.340000,-0.660000,1.000000,0.012600,0.001100,-0.000100,39.39,0.00130,71.71,13.79,ACCELERATION
1.3475,-269874000.0000,485199000.0000,75,263,338,-0.556213,22.96800000,4.8400,0.280000,-0.720000,1.000000,0.013600,0.001000,-0.000100,18.67,0.00100,43.81,6.54,ACCELERATION
1.3500,953115150.0000,2902901787.5000,1505,761,2266,0.328332,20.49710000,4.8300,0.220000,-0.780000,1.000000,0.014900,0.000900,-0.000100,28.19,0.00115,27.76,28.19,RESIST/SUPPORT
1.3525,346294650.0000,368493025.0000,322,10,332,0.939759,17.75870000,4.7800,0.170000,-0.830000,1.000000,0.016300,0.000800,-0.000100,19.54,0.00098,37.97,19.54,RESIST/SUPPORT
1.3550,-769400156.2500,3279976181.2500,1346,2171,3517,-0.234575,14.92170000,4.8300,0.140000,-0.860000,1.000000,0.018100,0.000700,-0.000100,28.99,0.00116,48.11,10.15,ACCELERATION
1.3600,1114413437.5000,3428729562.5000,3720,1895,5615,0.325022,9.77020000,4.8700,0.080000,-0.920000,1.000000,0.022200,0.000400,-0.000100,34.01,0.00125,29.72,34.01,RESIST/SUPPORT
1.3625,158322768.7500,158322768.7500,333,0,333,1.000000,7.60710000,4.8800,0.060000,-0.940000,1.000000,0.024300,0.000300,0.000000,16.40,0.00087,38.96,16.40,RESIST/SUPPORT
1.3650,575024106.2500,575024106.2500,1507,0,1507,1.000000,6.10510000,5.0300,0.040000,-0.950000,0.990000,0.026700,0.000300,0.000000,20.74,0.00095,40.18,20.74,RESIST/SUPPORT
