Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 14
1.3175,39204,39204
1.3200,-264024.36,288896.22
1.3225,-173200.5,174600.1
1.3300,85073.31,89703.15000000001
1.3325,-368500.13999999996,568876.38
1.3350,530087.31,534928.29
1.3375,-629634.1799999999,913985.0999999999
1.3400,43935.06,1258345.18
1.3425,-671162.96,1495772.72
1.3450,618060.96,621182.48
1.3475,-590086.08,600946.5599999999
1.3500,1909079.75,1925590.71
1.3525,226621.08000000002,1970215.9200000002
1.3550,-634880.73,639899.55
1.3575,2380474.1,2401871.62
1.3600,-110315.20000000001,115830.96
1.3625,1774928.04,1780414.68
1.3650,2190931.1999999997,2276640
1.3675,683955.6,683955.6
1.3700,1572704.64,1595107.8399999999
1.3750,273825.75,280463.95
1.3775,340099.14,340099.14
1.3800,182930.55000000002,187365.23
1.3850,231917.04,231917.04
1.3900,47797.97,47797.97
1.3950,-87220.24,87935.16
1.4150,16386.24,16386.24
