Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -401
NaN,0.0000,0.0000
1.1200,876233.2875,876233.2875
1.1250,2703750.4494,2703750.4494
1.1300,-9069617.4384,9177589.0746
1.1375,6897842.5873,6897842.5873
1.1475,34071712.3940,34071712.3940
1.1500,13270279.8187,13982778.0640
1.1525,-15469891.1544,16059220.3412
1.1550,-24172709.3333,24276902.0460
1.1575,-2059432.0971,51063354.8172
1.1625,-2871448.1361,28290825.0782
1.1650,-10070356.0737,10237498.9131
1.1675,11729081.9320,13055585.2458
1.1700,-8415064.8086,8637980.4327
1.1725,6520525.8487,6520525.8487
1.1775,5670263.8680,5670263.8680
1.1800,-3784612.6804,3821535.7310
1.1850,-3212868.7856,3246105.3592
1.1900,2182313.2647,3651382.6819
1.1950,-2588253.4565,2594155.9729
1.2000,-820996.2579,824222.1764
1.2050,1007421.2538,1666066.3219
1.2100,-400243.6706,402669.3898
1.2150,396024.9556,398165.6311
