Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -43
NaN,0.0000,0.0000
1.1425,1291115.3898,1291115.3898
1.1475,8992688.1786,8992688.1786
1.1500,8359192.8810,9099880.8578
1.1525,-35220342.7449,35385116.2782
1.1550,44497994.0258,45036547.6600
1.1600,98116707.6770,100179608.2326
1.1625,-84954442.5231,135316656.9530
1.1650,-17132948.2821,17720363.6518
1.1675,-10429612.2093,10550185.7609
1.1700,-11868421.5825,12205592.6502
1.1725,-4880955.8029,4921461.6602
1.1750,-4070467.6596,4100508.0113
1.1775,2017112.8727,4349035.2689
