Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -99
NaN,0.0000,0.0000
1.1250,954504.9567,954504.9567
1.1425,2303626.1359,2303626.1359
1.1475,11993718.6060,11993718.6060
1.1500,8297247.1000,9027822.3163
1.1525,12975149.3797,12975149.3797
1.1550,26851645.7935,27176627.8909
1.1575,-36596934.2292,36891674.6391
1.1600,40760014.0917,41786140.3206
1.1625,-32894866.8846,48723975.7614
1.1650,24469613.7874,24597392.4494
1.1675,-22388081.2361,55089772.9292
1.1700,-7752380.1321,8326630.5123
1.1725,19394445.6426,30902147.4049
1.1750,-20919324.5752,21000564.6706
1.1775,4897008.1031,11298325.8850
1.1800,-18141624.8364,18287928.2625
1.1825,2932606.1052,3216980.0305
1.1850,-9632153.8921,9687273.5138
1.1875,5304577.6810,5304577.6810
1.1900,-3467678.9981,3512811.4797
1.1950,-3336051.0763,3360138.0877
1.2000,-762098.4635,793460.5402
