Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -315
1.1250,-147162.05,147487.27000000002
1.1375,146334.5,146334.5
1.1425,154696.2,154696.2
1.1475,157172.7,157172.7
1.1500,227633.90999999997,234010.21000000002
1.1525,-108354.29,109808.70999999999
1.1550,140670.78000000003,147409.50000000003
1.1575,-155497.02000000002,167086.86000000002
1.1600,633250.95,639881.85
1.1625,-509753.30000000005,517286.6
1.1650,-508688.64,511522.56000000006
1.1675,-201989.69,892253.67
1.1700,1411442.9999999998,1414940.9999999998
1.1725,854540.46,1003989.2400000001
1.1750,-1682560.02,1686653.84
1.1775,888350.28,944411.2200000001
1.1800,-771216.71,784475.45
1.1825,283696.41000000003,600900.27
1.1850,-1442088.7200000002,1450868.56
1.1875,717413.4,717413.4
1.1900,-1671670.62,1687478.3799999997
1.1950,67953.40000000001,2056833.4000000004
1.1975,303834.6,303834.6
1.2050,479299.14,621983.58
1.2100,-345968.35000000003,347489.08999999997
1.2150,-274360,275515.2
1.2250,-85603.50000000001,86237.59999999999
1.2300,-80628.78,81131.14
1.2350,31633.280000000002,31633.280000000002
1.2400,-27001.58,27896.660000000003
1.2450,-62756.99999999999,63021.24
1.2500,17111.74,17111.74
