Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -119
1.1200,-295465100.0000,303268500.0000,22,1688,1710,-0.974269,1.41880000,6.7700,0.990000,-0.010000,1.000000,0.038800,0.000100,0.000000,18.09,0.00086,40.91,6.33,ACCELERATION
1.1250,-1379127400.0000,1384912600.0000,9,4300,4309,-0.995823,2.57120000,6.5800,0.980000,-0.020000,1.000000,0.033900,0.000100,0.000000,21.78,0.00092,45.87,7.62,ACCELERATION
1.1300,-2607890400.0000,2658732300.0000,51,5283,5334,-0.980877,3.98760000,6.1100,0.970000,-0.030000,1.000000,0.029000,0.000100,0.000000,24.44,0.00095,49.06,8.55,ACCELERATION
1.1350,-2642978625.0000,2785886225.0000,88,3343,3431,-0.948703,6.49580000,5.7100,0.960000,-0.040000,1.000000,0.024200,0.000200,0.000000,23.03,0.00093,47.84,8.06,ACCELERATION
1.1400,-6413071600.0000,9249622500.0000,1058,5842,6900,-0.693333,10.72420000,5.3700,0.920000,-0.070000,0.990000,0.019600,0.000300,-0.000100,32.95,0.00110,53.48,11.53,ACCELERATION
1.1425,-1152222150.0000,1152222150.0000,0,661,661,-1.000000,13.94520000,5.4200,0.890000,-0.110000,1.000000,0.017600,0.000500,-0.000100,19.77,0.00092,46.85,6.92,ACCELERATION
1.1450,-5025081050.0000,9576097850.0000,1056,3388,4444,-0.524752,17.23870000,5.1900,0.860000,-0.140000,1.000000,0.015500,0.000500,-0.000100,29.87,0.00107,47.86,10.45,ACCELERATION
1.1475,-1705730000.0000,1705730000.0000,0,650,650,-1.000000,20.99360000,5.1800,0.810000,-0.190000,1.000000,0.013800,0.000700,-0.000100,22.18,0.00099,50.09,7.76,ACCELERATION
1.1500,-1281639312.5000,30107714837.5000,4667,5082,9749,-0.042568,24.70630000,5.1300,0.760000,-0.240000,1.000000,0.012300,0.000800,-0.000100,41.02,0.00128,50.20,14.36,ACCELERATION
1.1525,-2302269637.5000,2394218962.5000,13,664,677,-0.961595,28.29210000,5.0300,0.690000,-0.300000,0.990000,0.011000,0.000900,-0.000100,24.52,0.00105,52.50,8.58,ACCELERATION
1.1550,-481860900.0000,14743389150.0000,1835,1959,3794,-0.032683,31.08780000,4.9700,0.620000,-0.380000,1.000000,0.010200,0.000900,-0.000100,26.97,0.00111,36.79,9.44,ACCELERATION
1.1600,15592877825.0000,28151176575.0000,5312,1525,6837,0.553898,32.93980000,4.9000,0.460000,-0.540000,1.000000,0.009600,0.001000,-0.000100,58.05,0.00150,35.59,58.05,RESIST/SUPPORT
1.1625,459366625.0000,513867750.0000,125,7,132,0.893939,31.14350000,4.9800,0.380000,-0.620000,1.000000,0.010200,0.000900,-0.000100,20.43,0.00102,33.40,20.43,RESIST/SUPPORT
1.1650,20924922450.0000,35201600700.0000,7902,2010,9912,0.594431,28.41130000,5.0400,0.310000,-0.690000,1.000000,0.011100,0.000900,-0.000100,68.52,0.00162,39.85,68.52,RESIST/SUPPORT
1.1675,965506625.0000,984193850.0000,313,3,316,0.981013,24.91630000,5.1600,0.250000,-0.750000,1.000000,0.012400,0.000800,-0.000100,20.11,0.00098,35.90,20.11,RESIST/SUPPORT
1.1700,10273912312.5000,23775245587.5000,6388,2533,8921,0.432126,21.32070000,5.2200,0.190000,-0.810000,1.000000,0.013900,0.000700,-0.000100,45.25,0.00131,31.62,45.25,RESIST/SUPPORT
1.1725,2626560075.0000,2626560075.0000,1186,0,1186,1.000000,17.71710000,5.2600,0.150000,-0.850000,1.000000,0.015700,0.000600,-0.000100,21.57,0.00097,37.47,21.57,RESIST/SUPPORT
1.1750,1250749600.0000,9627863200.0000,2992,2304,5296,0.129909,14.54360000,5.5000,0.120000,-0.880000,1.000000,0.017800,0.000500,-0.000100,20.52,0.00097,20.23,20.52,RESIST/SUPPORT
1.1775,210040187.5000,210040187.5000,143,0,143,1.000000,11.75050000,5.6300,0.090000,-0.910000,1.000000,0.019900,0.000400,-0.000100,15.32,0.00086,36.75,15.32,RESIST/SUPPORT
1.1800,20380595262.5000,24896253512.5000,19953,1990,21943,0.818621,9.07670000,5.6100,0.060000,-0.930000,0.990000,0.022000,0.000300,-0.000100,62.12,0.00154,45.24,62.12,RESIST/SUPPORT
1.1850,1135178275.0000,1621891425.0000,1892,334,2226,0.699910,5.82890000,6.0200,0.040000,-0.960000,1.000000,0.026700,0.000200,0.000000,15.07,0.00083,31.93,15.07,RESIST/SUPPORT
1.1900,684195600.0000,713466000.0000,1528,32,1560,0.958974,3.65880000,6.3500,0.020000,-0.970000,0.990000,0.031500,0.000100,0.000000,14.78,0.00082,37.88,14.78,RESIST/SUPPORT
