Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -426
1.1250,-225519787.5000,258049687.5000,52,773,825,-0.873939,2.50230000,6.7100,0.970000,-0.020000,0.990000,0.043900,0.000200,0.000000,18.50,0.00088,39.55,6.48,ACCELERATION
1.1300,-1289005487.5000,1291608662.5000,3,2974,2977,-0.997985,3.47090000,6.4100,0.960000,-0.030000,0.990000,0.039100,0.000300,0.000000,27.55,0.00102,51.79,9.64,ACCELERATION
1.1350,-770690112.5000,964422112.5000,160,1433,1593,-0.799121,4.84330000,6.1200,0.950000,-0.050000,1.000000,0.034300,0.000300,0.000000,21.78,0.00093,42.76,7.62,ACCELERATION
1.1400,-3670229700.0000,3790565100.0000,72,4464,4536,-0.968254,6.68530000,5.7900,0.930000,-0.070000,1.000000,0.029700,0.000400,0.000000,41.13,0.00121,66.20,14.39,ACCELERATION
1.1450,-8270730050.0000,11910039350.0000,1548,8584,10132,-0.694433,9.40390000,5.6200,0.890000,-0.100000,0.990000,0.025400,0.000600,-0.000100,75.11,0.00172,95.43,26.29,ACCELERATION
1.1500,-6639393900.0000,13604060700.0000,2184,6348,8532,-0.488045,12.75580000,5.4400,0.850000,-0.150000,1.000000,0.021400,0.000800,-0.000100,69.54,0.00165,86.44,24.34,ACCELERATION
1.1525,-469728537.5000,469728537.5000,0,257,257,-1.000000,14.62190000,5.3500,0.820000,-0.180000,1.000000,0.019600,0.000900,-0.000100,21.45,0.00098,48.95,7.51,ACCELERATION
1.1550,-6125280775.0000,14553267375.0000,2024,4966,6990,-0.420887,16.65610000,5.1900,0.780000,-0.210000,0.990000,0.017800,0.001000,-0.000100,67.34,0.00162,83.62,23.57,ACCELERATION
1.1575,-239558687.5000,239558687.5000,0,103,103,-1.000000,18.60650000,5.1300,0.740000,-0.260000,1.000000,0.016400,0.001100,-0.000100,21.25,0.00101,49.46,7.44,ACCELERATION
1.1600,-2133486675.0000,7812551925.0000,1110,1944,3054,-0.273084,20.46510000,5.0600,0.690000,-0.300000,0.990000,0.015200,0.001200,-0.000100,38.70,0.00126,52.73,13.55,ACCELERATION
1.1650,-2782285275.0000,9078429800.0000,1093,2059,3152,-0.306472,23.04170000,5.0000,0.590000,-0.410000,1.000000,0.013700,0.001300,-0.000100,43.38,0.00133,58.79,15.18,ACCELERATION
1.1675,231826487.5000,1546488087.5000,303,224,527,0.149905,23.47610000,5.0200,0.530000,-0.470000,1.000000,0.013500,0.001300,-0.000100,19.29,0.00102,17.46,19.29,RESIST/SUPPORT
1.1700,-777569100.0000,12676732600.0000,2020,2284,4304,-0.061338,23.56270000,5.0000,0.470000,-0.530000,1.000000,0.013400,0.001300,-0.000100,42.94,0.00135,54.17,15.03,ACCELERATION
1.1750,6265626675.0000,10472270325.0000,3020,759,3779,0.598306,22.16940000,4.9700,0.350000,-0.640000,0.990000,0.014300,0.001200,-0.000100,56.45,0.00148,36.79,56.45,RESIST/SUPPORT
1.1775,379735912.5000,379735912.5000,147,0,147,1.000000,20.66590000,4.9900,0.300000,-0.700000,1.000000,0.015200,0.001200,-0.000100,21.43,0.00102,36.43,21.43,RESIST/SUPPORT
1.1800,931465250.0000,7962373000.0000,1881,1487,3368,0.116983,18.91300000,5.0000,0.250000,-0.750000,1.000000,0.016400,0.001100,-0.000100,32.42,0.00118,21.87,32.42,RESIST/SUPPORT
1.1850,2359437750.0000,2979951300.0000,1437,167,1604,0.791771,14.86260000,5.1400,0.170000,-0.820000,0.990000,0.019600,0.000900,-0.000100,28.92,0.00109,35.21,28.92,RESIST/SUPPORT
1.1900,1781755650.0000,3916526850.0000,2050,768,2818,0.454933,11.11860000,5.3200,0.120000,-0.880000,1.000000,0.023400,0.000700,-0.000100,26.70,0.00105,28.63,26.70,RESIST/SUPPORT
1.1950,1289092500.0000,1841699700.0000,1609,284,1893,0.699947,7.78320000,5.3300,0.070000,-0.920000,0.990000,0.027500,0.000500,0.000000,21.35,0.00094,32.91,21.35,RESIST/SUPPORT
1.2000,1014992637.5000,2524540612.5000,2530,1079,3609,0.402050,5.59610000,5.6300,0.050000,-0.950000,1.000000,0.032100,0.000400,0.000000,21.14,0.00095,27.61,21.14,RESIST/SUPPORT
1.2050,253178950.0000,337417650.0000,638,91,729,0.750343,3.70280000,5.7100,0.030000,-0.970000,1.000000,0.036800,0.000200,0.000000,14.06,0.00081,33.52,14.06,RESIST/SUPPORT
