Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -192
NaN,0.0000,0.0000
1.1050,163704.6743,163704.6743
1.1150,1223769.3345,1223769.3345
1.1200,-2102407.1530,2111985.3177
1.1250,1174222.1770,1174222.1770
1.1500,4354092.5103,4670753.7838
1.1550,12030552.5461,12102699.7877
1.1600,16553175.0047,16789648.9334
1.1650,14102432.7623,14161811.4266
1.1700,-33389487.7064,33672449.4667
1.1750,19976125.5543,20134352.2914
1.1800,-12990359.9076,13231666.9028
1.1850,-27399397.1475,27546508.0047
1.1900,-20531265.6738,20716232.0313
1.1950,-20059702.4529,20203499.6031
1.2000,-15661614.6642,15871134.5928
1.2050,-3675538.6252,3700627.6260
1.2100,-3691367.3943,3726439.7686
1.2150,-2235261.2431,2247343.7363
1.2200,-470593.8370,523370.7159
1.2250,2166934.3925,2669758.9476
1.2300,1500189.3980,1548160.5707
