Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -55
1.1325,-113828000.0000,113828000.0000,0,352,352,-1.000000,2.58700000,12.5600,0.990000,-0.010000,1.000000,0.026200,0.000000,0.000000,16.17,0.00082,42.46,5.66,ACCELERATION
1.1350,-1199022500.0000,1264285750.0000,86,3246,3332,-0.948379,3.03550000,11.5000,0.990000,-0.010000,1.000000,0.023700,0.000000,0.000000,20.47,0.00091,46.21,7.16,ACCELERATION
1.1400,-2414574175.0000,3885528075.0000,1318,5645,6963,-0.621428,4.46420000,9.3900,0.980000,-0.020000,1.000000,0.018700,0.000000,0.000000,23.90,0.00098,44.07,8.36,ACCELERATION
1.1425,-437876175.0000,437876175.0000,0,618,618,-1.000000,5.66830000,8.3300,0.980000,-0.020000,1.000000,0.016200,0.000000,0.000000,15.47,0.00078,43.69,5.41,ACCELERATION
1.1450,-2193894875.0000,4178086125.0000,1055,3388,4443,-0.525096,7.52300000,7.2800,0.980000,-0.020000,1.000000,0.013700,0.000000,0.000000,19.67,0.00088,38.88,6.89,ACCELERATION
1.1475,-1682245362.5000,1682245362.5000,0,971,971,-1.000000,13.85990000,6.9700,0.960000,-0.040000,1.000000,0.011300,0.000100,-0.000100,17.81,0.00083,47.00,6.23,ACCELERATION
1.1500,-2889227250.0000,32511744000.0000,4665,5575,10240,-0.088867,25.39980000,7.0400,0.910000,-0.090000,1.000000,0.009200,0.000200,-0.000200,37.88,0.00122,49.34,13.26,ACCELERATION
1.1525,-4035681250.0000,4163641875.0000,13,833,846,-0.969267,39.37250000,6.9000,0.830000,-0.170000,1.000000,0.007300,0.000200,-0.000300,23.35,0.00096,52.90,8.17,ACCELERATION
1.1550,-15875388600.0000,40274933450.0000,1789,4117,5906,-0.394175,54.55460000,6.6300,0.720000,-0.280000,1.000000,0.005700,0.000300,-0.000500,53.43,0.00141,71.96,18.70,ACCELERATION
1.1575,-9528766237.5000,11483820862.5000,115,1236,1351,-0.829756,68.00190000,6.2100,0.580000,-0.420000,1.000000,0.004700,0.000400,-0.000500,34.21,0.00118,61.93,11.97,ACCELERATION
1.1600,12601967400.0000,50637925800.0000,3711,2232,5943,0.248864,68.16480000,6.1300,0.400000,-0.600000,1.000000,0.004700,0.000400,-0.000500,54.60,0.00146,30.24,54.60,RESIST/SUPPORT
1.1625,-6554464200.0000,8796780900.0000,156,1068,1224,-0.745098,57.49530000,5.7300,0.230000,-0.770000,1.000000,0.005300,0.000300,-0.000400,27.74,0.00106,54.74,9.71,ACCELERATION
1.1650,24735362850.0000,52564921200.0000,8494,3058,11552,0.470568,36.40230000,5.6700,0.110000,-0.890000,1.000000,0.007000,0.000200,-0.000200,68.59,0.00160,39.14,68.59,RESIST/SUPPORT
1.1675,471074037.5000,2360408412.5000,562,375,937,0.199573,20.15290000,5.9900,0.060000,-0.940000,1.000000,0.009200,0.000100,-0.000100,11.16,0.00075,19.85,11.16,RESIST/SUPPORT
1.1700,-908513800.0000,17792938000.0000,5817,6443,12260,-0.051060,11.61040000,6.5700,0.030000,-0.970000,1.000000,0.011500,0.000100,-0.000100,27.52,0.00109,42.09,9.63,ACCELERATION
1.1725,1227384600.0000,1232728800.0000,1381,3,1384,0.995665,7.12560000,7.2200,0.020000,-0.980000,1.000000,0.014000,0.000000,0.000000,15.40,0.00079,37.80,15.40,RESIST/SUPPORT
1.1750,82458000.0000,3521872800.0000,3934,3754,7688,0.023413,3.66480000,7.4800,0.010000,-0.990000,1.000000,0.016400,0.000000,0.000000,15.38,0.00087,18.83,15.38,RESIST/SUPPORT
1.1775,90585000.0000,90585000.0000,396,0,396,1.000000,1.83000000,7.7300,0.000000,-1.000000,1.000000,0.018900,0.000000,0.000000,12.64,0.00074,38.16,12.64,RESIST/SUPPORT
