Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -172
45000,6270.6,6270.6
50000,14467.500000000002,14467.500000000002
59000,181968,181968
60000,206652,206652
61000,11525.5,11525.5
63000,20690.600000000002,20690.600000000002
64000,50227.5,50227.5
65000,184921.09999999998,184921.09999999998
66000,-12669.899999999998,29563.1
66500,40019.4,40019.4
67000,65381.399999999994,65381.399999999994
68000,-96546.6,106709.40000000001
69500,27857,38999.799999999996
70000,-39789.4,346736.2
71000,63956.200000000004,63956.200000000004
72000,34792.8,57988
72250,34629,34629
74000,48091.5,48091.5
75000,24704.5,54349.9
76000,-49073.200000000004,75840.4
77250,38067.99999999999,38067.99999999999
78000,-88870.59999999999,129887.79999999999
79250,22539.2,22539.2
80000,177244.4,177244.4
81000,17037.600000000002,17037.600000000002
83000,-3075.4,9226.2
87000,6362.3,6362.3
89500,708.1999999999999,4957.4
90000,60804.3,60804.3
93000,14094.6,16263
