Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -143
58000,1927.4999999999998,1927.4999999999998
59000,46583.4,46583.4
60000,54111,54111
61000,3158.9999999999995,3158.9999999999995
63000,6074.600000000001,6074.600000000001
64000,15066,15066
65000,60567.59999999999,60567.59999999999
66000,-6886,12394.800000000001
66500,13437,13437
67000,34169.100000000006,34169.100000000006
67500,-1762.1,8810.499999999998
68000,-36630.1,40485.9
69500,12398.5,17357.9
69600,25188,25188
70000,-35012.9,180451.1
71000,28310.399999999998,28310.399999999998
72000,14439.599999999999,50538.6
72200,37009,37009
72250,22326,22326
73000,-36311.399999999994,68588.2
74000,47917.1,65341.5
75000,95025,122175
75200,13612.2,13612.2
76000,-40604.4,112790.00000000001
77250,42377.00000000001,42377.00000000001
78000,-83181,170323
79250,26989.600000000002,26989.600000000002
80000,203394.80000000002,203394.80000000002
81000,17557.4,17557.4
82300,11740.800000000001,11740.800000000001
83000,-3424.6000000000004,10273.8
87000,5999.7,5999.7
88000,4523.4,4523.4
89500,641.4,4489.799999999999
90000,51704.09999999999,51704.09999999999
93000,10223.2,11796
96500,1310.0000000000002,1310.0000000000002
