Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -123
69500,1346.5,1885.1
69600,2779,2779
70000,-4050.8,20877.2
71000,3345.6000000000004,4182.000000000001
72000,2380,8330
72200,6423,6423
73000,18116.7,18116.7
74000,9853.6,12317
75000,18530.600000000002,28638.2
76000,-19288.8,53579.99999999999
77000,29575.2,29575.2
78000,-37623,122901.8
78250,17297,17297
79000,18172.8,18172.8
80000,125591.4,125591.4
81000,7717.5,7717.5
83000,-2686.2000000000003,4477
87000,1784.9999999999998,1784.9999999999998
88000,1195.2,1195.2
89500,425.7,1277.1000000000001
90000,11649.3,11649.3
93000,1323.4,1527
96500,186,186
