Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -92
58000,556.5,556.5
59000,14514.600000000002,14514.600000000002
60000,20808,20808
61000,1145.5,1145.5
63000,2758,2758
64000,7741.499999999999,7741.499999999999
65000,34343.4,34343.4
66000,-4045.0000000000005,7281
66500,8144.1,8144.1
67000,20748,20748
67500,-1097.1,5485.5
68000,-23054.6,25481.4
69500,8210.499999999998,11494.7
69600,16657,16657
70000,-23470.199999999997,120961.79999999999
71000,17469.6,21837
72000,10339.199999999999,36187.2
72200,26695,26695
72250,16111.8,16111.8
73000,-29625,53325
74000,38652,45094
74600,0,0
75000,71616.59999999999,91148.4
76000,-27097.199999999997,75270
77000,30306,30306
77250,23806,23806
78000,-26845,95875
79000,10568,10568
79250,9475.199999999999,9475.199999999999
80000,54066.99999999999,54066.99999999999
81000,2488,2488
83000,-548.4,914
