Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -115
50000,2603.0000,2603.0000
58000,9577.2000,9577.2000
60000,2787.5000,2787.5000
61000,9205.0000,9205.0000
61500,4176.0000,4176.0000
62000,6082.4000,6082.4000
63000,23166.0000,23166.0000
63500,5745.0000,5745.0000
65000,24444.0000,24444.0000
65500,-12356.0000,22240.8000
68000,10498.2000,10498.2000
69500,21473.0000,21473.0000
70000,-16205.0000,20835.0000
71500,20225.1000,20225.1000
72000,15534.0000,15534.0000
73000,10738.8000,25057.2000
73500,23061.0000,23061.0000
74000,20565.0000,37017.0000
75000,-37512.0000,103158.0000
78000,-6379.1000,108444.7000
79000,6809.7000,47667.9000
80000,42628.2000,127884.6000
81000,-14474.2000,72371.0000
82000,7190.5000,79095.5000
85000,36399.0000,36399.0000
88000,34016.8000,34016.8000
89000,22149.0000,22149.0000
90000,197042.2000,197042.2000
91000,16611.0000,16611.0000
92000,52393.0000,52393.0000
96000,9999.5000,9999.5000
100000,8899.0000,8899.0000
