Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 12
62000,2718.4000,2718.4000
63000,10220.6000,10220.6000
63500,2623.8000,2623.8000
65000,12079.2000,12079.2000
65500,-6239.0000,11230.2000
68000,5555.4000,5555.4000
69500,12055.0000,12055.0000
70000,-9314.9000,11976.3000
71500,12261.2000,12261.2000
72000,9675.0000,9675.0000
73000,-2377.4000,26151.4000
73500,15834.6000,15834.6000
74000,2915.2000,37897.6000
75000,-24482.5000,73447.5000
76000,12030.0000,20050.0000
76500,21016.5000,21016.5000
77500,4383.7000,21918.5000
78000,34789.6000,95671.4000
79000,12056.4000,44206.8000
80000,34063.0000,47688.2000
80500,3046.1000,27414.9000
81000,0.0000,21485.6000
82000,14181.3000,30388.5000
82500,3563.8000,10691.4000
83000,20246.2000,20246.2000
84000,14583.6000,19444.8000
85000,5836.2000,5836.2000
86000,4854.0000,4854.0000
88000,4646.4000,4646.4000
89000,2848.2000,2848.2000
90000,25599.8000,25599.8000
91000,2127.6000,2127.6000
92000,7242.5000,7242.5000
96000,977.2000,977.2000
100000,598.5000,598.5000
