Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 102
70000,-2003.4000,2575.8000
71500,4013.8000,4013.8000
72000,3602.0000,3602.0000
73000,-1134.3000,12477.3000
73500,8362.8000,8362.8000
74000,1678.4000,21819.2000
75000,-36856.0000,69105.0000
76000,8434.5000,14057.5000
76500,14695.0000,14695.0000
77500,2822.4000,14112.0000
78000,20664.8000,56828.2000
79000,5686.5000,20850.5000
80000,12116.0000,16962.4000
80500,964.6000,8681.4000
81000,0.0000,6047.2000
82000,3364.9000,7210.5000
82500,777.0000,2331.0000
83000,4004.0000,4004.0000
84000,2582.4000,3443.2000
85000,766.2000,766.2000
86000,552.0000,552.0000
88000,388.0000,388.0000
89000,215.4000,215.4000
90000,1717.4000,1717.4000
91000,117.0000,117.0000
