Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -196
35000,830.3999999999999,830.3999999999999
40000,2724,2724
45000,7324.8,7324.8
50000,17564.4,17564.4
59000,182376,182376
60000,209522.59999999998,209522.59999999998
64000,64307.399999999994,64307.399999999994
65000,209258.5,209258.5
67000,65328.19999999999,65328.19999999999
68000,-96326.20000000001,106465.79999999999
70000,-40177.9,350121.7
71000,71371.2,71371.2
72000,36225.6,60376
75000,27766.500000000004,61086.3
76000,-36286.6,108859.79999999999
77250,46423,46423
78000,-116464.5,159599.5
80000,208718.39999999997,208718.39999999997
90000,106425.9,106425.9
93000,26655.2,30756
