Strike,Net GEX,Abs/Proxy Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP 10
47500.0000,-285.0000,285.0000,0,57,57,-1.000000,1.00000000,97.8600,1.000000,0.000000,1.000000,15828.000000,0.208000,-1.535000,73,1704.83603,99,26,ACCELERATION
50000.0000,-370.0000,370.0000,0,74,74,-1.000000,1.00000000,87.7200,1.000000,0.000000,1.000000,13333.000000,0.446000,-3.269000,89,1920.36672,100,31,ACCELERATION
52000.0000,-140.0000,140.0000,0,28,28,-1.000000,1.00000000,82.3600,0.990000,-0.010000,1.000000,11346.000000,1.031000,-8.015000,49,1354.02900,73,17,ACCELERATION
57500.0000,-200.0000,210.0000,1,41,42,-0.952381,1.00000000,63.3700,0.950000,-0.050000,1.000000,6009.000000,6.712000,-54.131000,62,1562.23456,83,22,ACCELERATION
67500.0000,65.0000,275.0000,34,21,55,0.236364,1.00000000,37.5500,0.040000,-0.960000,1.000000,4244.000000,5.385000,-24.427000,55,1472.69835,20,55,RESIST/SUPPORT
70000.0000,130.0000,150.0000,28,2,30,0.866667,1.00000000,44.0300,0.010000,-0.990000,1.000000,6685.000000,1.613000,-7.016000,49,1340.29317,32,49,RESIST/SUPPORT
72000.0000,150.0000,150.0000,30,0,30,1.000000,1.00000000,50.0200,0.000000,-1.000000,1.000000,8675.000000,0.770000,-3.397000,51,1364.10053,36,51,RESIST/SUPPORT
78000.0000,245.0000,245.0000,49,0,49,1.000000,1.00000000,66.1200,0.000000,-1.000000,1.000000,14666.000000,0.134000,-0.610000,67,1593.91025,42,67,RESIST/SUPPORT
105000.0000,315.0000,315.0000,63,0,63,1.000000,1.00000000,147.0000,0.000000,-1.000000,1.000000,41657.000000,0.056000,-0.501000,67,1704.29591,52,67,RESIST/SUPPORT
