Strike,Net GEX,Abs/Proxy Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -102
47500.0000,-285.0000,285.0000,0,57,57,-1.000000,1.00000000,70.6100,1.000000,0.000000,1.000000,18154.000000,0.946000,-2.709000,72,1697.59228,99,25,ACCELERATION
50000.0000,-370.0000,370.0000,0,74,74,-1.000000,1.00000000,65.9900,0.990000,-0.010000,1.000000,15674.000000,1.947000,-5.406000,88,1912.00431,100,31,ACCELERATION
52000.0000,-140.0000,140.0000,0,28,28,-1.000000,1.00000000,61.7300,0.990000,-0.010000,1.000000,13699.000000,3.226000,-8.598000,48,1351.75516,73,17,ACCELERATION
67500.0000,75.0000,285.0000,36,21,57,0.263158,1.00000000,35.2300,0.330000,-0.670000,1.000000,3493.000000,40.238000,-69.218000,57,1530.88825,20,57,RESIST/SUPPORT
70000.0000,130.0000,150.0000,28,2,30,0.866667,1.00000000,36.7000,0.160000,-0.840000,1.000000,4994.000000,26.796000,-47.066000,50,1372.31229,31,50,RESIST/SUPPORT
72000.0000,150.0000,150.0000,30,0,30,1.000000,1.00000000,39.2700,0.090000,-0.910000,1.000000,6676.000000,17.638000,-32.439000,52,1388.64292,35,52,RESIST/SUPPORT
78000.0000,245.0000,245.0000,49,0,49,1.000000,1.00000000,51.0700,0.030000,-0.970000,1.000000,12433.000000,6.575000,-14.897000,67,1610.61702,42,67,RESIST/SUPPORT
105000.0000,315.0000,315.0000,63,0,63,1.000000,1.00000000,100.9100,0.000000,-1.000000,1.000000,39324.000000,1.259000,-5.124000,67,1706.08478,52,67,RESIST/SUPPORT
