Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -417
50000,5202.2,5202.2
58000,17868.7,17868.7
60000,5016,5016
61000,15974,15974
61500,7326.6,7326.6
62000,10247.199999999999,10247.199999999999
63000,38079.600000000006,38079.600000000006
63500,9283.199999999999,9283.199999999999
65000,37540,37540
65500,-20003,36005.399999999994
68000,16653,16653
69500,30311.1,30311.1
70000,-28753.6,35942
71500,38934,38934
72000,23019,23019
73000,20654,30981
74000,40243.700000000004,40243.700000000004
75000,-37999.799999999996,126665.99999999999
78000,-7840.3,133285.1
79000,65420.799999999996,65420.799999999996
80000,100732.8,100732.8
81000,8476.4,59334.799999999996
85000,44721,44721
88000,40997.6,40997.6
89000,31845.600000000002,31845.600000000002
90000,298151.8,298151.8
92000,58279.50000000001,58279.50000000001
96000,17772.3,17772.3
100000,15174,15174
