Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -104
58000,4734.5,4734.5
59000,114994.79999999999,114994.79999999999
60000,134538,134538
61000,7730.500000000001,7730.500000000001
63000,14953.4,14953.4
64000,37310.99999999999,37310.99999999999
65000,138369.6,138369.6
66000,-9914.099999999999,23132.899999999998
66500,31738.5,31738.5
67000,52457.99999999999,52457.99999999999
68000,-79459.9,87824.1
69500,23618.5,33065.9
70000,-38824,300886
71000,45041.4,45041.4
72000,44913.600000000006,64875.200000000004
72250,29750.4,29750.4
73000,47958,47958
74000,57645.90000000001,57645.90000000001
75000,51425.4,75160.2
76000,-37380.200000000004,57769.399999999994
77250,26716.999999999996,26716.999999999996
78000,-47103,96449
79250,13136.8,13136.8
80000,97567.2,97567.2
81000,8412.8,8412.8
83000,-1290.8,3872.3999999999996
