Strike,Net GEX,Abs/Proxy Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -9
47500.0000,-285.0000,285.0000,0,57,57,-1.000000,1.00000000,80.6200,1.000000,0.000000,1.000000,17822.000000,0.041000,-0.188000,72,1697.54281,99,25,ACCELERATION
50000.0000,-370.0000,370.0000,0,74,74,-1.000000,1.00000000,75.3700,1.000000,0.000000,1.000000,15325.000000,0.147000,-0.707000,88,1911.20493,100,31,ACCELERATION
52000.0000,-140.0000,140.0000,0,28,28,-1.000000,1.00000000,69.9400,1.000000,0.000000,1.000000,13328.000000,0.331000,-1.612000,48,1347.72655,73,17,ACCELERATION
57500.0000,-200.0000,210.0000,1,41,42,-0.952381,1.00000000,50.8700,0.990000,-0.010000,1.000000,7854.000000,2.060000,-8.970000,61,1512.96662,83,21,ACCELERATION
67500.0000,70.0000,280.0000,35,21,56,0.250000,1.00000000,35.8300,0.210000,-0.790000,1.000000,2775.000000,20.847000,-84.983000,56,1510.25423,20,56,RESIST/SUPPORT
70000.0000,130.0000,150.0000,28,2,30,0.866667,1.00000000,41.0000,0.070000,-0.930000,1.000000,4838.000000,9.358000,-39.255000,50,1359.03958,32,50,RESIST/SUPPORT
72000.0000,150.0000,150.0000,30,0,30,1.000000,1.00000000,46.1500,0.030000,-0.970000,1.000000,6743.000000,4.933000,-21.418000,52,1377.93139,35,52,RESIST/SUPPORT
78000.0000,245.0000,245.0000,49,0,49,1.000000,1.00000000,61.1400,0.000000,-0.990000,0.990000,12677.000000,1.014000,-4.787000,67,1603.53061,42,67,RESIST/SUPPORT
105000.0000,315.0000,315.0000,63,0,63,1.000000,1.00000000,116.0500,0.000000,-1.000000,1.000000,39653.000000,0.039000,-0.246000,67,1703.97139,52,67,RESIST/SUPPORT
