Strike,Net GEX (Vega),Abs Vega Gamma
NaN,NaN,NaN
FP -170
50000,10732.5,10732.5
59000,141739.2,141739.2
60000,164383.19999999998,164383.19999999998
61000,9188.000000000002,9188.000000000002
63000,16963.1,16963.1
64000,41542.5,41542.5
65000,152246.4,152246.4
66000,-10875,25375
66500,34696.8,34696.8
67000,57241.8,57241.8
68000,-86391.1,95484.90000000001
69500,25761,36065.4
70000,-37240,324520
71000,50175.899999999994,50175.899999999994
72000,34194,56990
72100,0,0
72250,34240.8,34240.8
74000,49439.7,49439.7
75000,67293.2,98351.6
76000,-52263.200000000004,80770.4
77250,41137,41137
78000,-78029.7,159775.09999999998
79250,24622.399999999998,24622.399999999998
80000,196632,196632
81000,18456.800000000003,18456.800000000003
83000,-3369.2,10107.599999999999
87000,7074.200000000001,7074.200000000001
89500,767.8,5374.6
90000,65832.90000000001,65832.90000000001
93000,15449.200000000003,17826
96500,2195.5,2195.5
