Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP -204
58000,8178.8000,8178.8000
60000,2455.0000,2455.0000
61000,8083.6000,8083.6000
61500,3726.6000,3726.6000
62000,5323.2000,5323.2000
63000,20446.4000,20446.4000
63500,5173.2000,5173.2000
65000,22308.3000,22308.3000
65500,-11397.0000,20514.6000
68000,9407.4000,9407.4000
69500,19219.0000,19219.0000
70000,-14399.7000,18513.9000
71500,17705.8000,17705.8000
72000,13627.0000,13627.0000
73000,9436.8000,22019.2000
73500,20207.4000,20207.4000
74000,3614.9000,46993.7000
75000,-33200.0000,91300.0000
78000,-5829.9000,99108.3000
79000,6294.3000,44060.1000
80000,53131.2000,106262.4000
81000,0.0000,54722.4000
82000,48090.0000,116790.0000
83000,87404.2000,87404.2000
84000,76875.6000,102500.8000
85000,35667.0000,35667.0000
88000,33524.0000,33524.0000
89000,21857.4000,21857.4000
90000,194277.0000,194277.0000
91000,16334.4000,16334.4000
92000,56616.0000,56616.0000
96000,9889.6000,9889.6000
100000,9300.0000,9300.0000
