Strike,Net GEX,Abs/Proxy Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -47
47500.0000,-285.0000,285.0000,0,57,57,-1.000000,1.00000000,75.1700,1.000000,0.000000,1.000000,18858.000000,0.769000,-2.528000,72,1697.88165,99,25,ACCELERATION
50000.0000,-370.0000,370.0000,0,74,74,-1.000000,1.00000000,70.7800,0.990000,-0.010000,1.000000,16376.000000,1.647000,-5.321000,88,1911.52659,100,31,ACCELERATION
52000.0000,-140.0000,140.0000,0,28,28,-1.000000,1.00000000,65.8900,0.990000,-0.010000,1.000000,14396.000000,2.624000,-8.101000,48,1352.90925,73,17,ACCELERATION
67500.0000,75.0000,285.0000,36,21,57,0.263158,1.00000000,36.3100,0.400000,-0.600000,1.000000,3239.000000,41.021000,-81.112000,58,1533.26958,20,58,RESIST/SUPPORT
70000.0000,130.0000,150.0000,28,2,30,0.866667,1.00000000,37.8600,0.200000,-0.800000,1.000000,4497.000000,29.648000,-60.003000,50,1376.76527,31,50,RESIST/SUPPORT
72000.0000,150.0000,150.0000,30,0,30,1.000000,1.00000000,40.2900,0.110000,-0.890000,1.000000,6072.000000,19.976000,-42.077000,52,1392.34985,35,52,RESIST/SUPPORT
78000.0000,245.0000,245.0000,49,0,49,1.000000,1.00000000,51.9800,0.030000,-0.970000,1.000000,11744.000000,7.056000,-18.004000,67,1612.34263,41,67,RESIST/SUPPORT
105000.0000,315.0000,315.0000,63,0,63,1.000000,1.00000000,101.8300,0.000000,-1.000000,1.000000,38619.000000,1.034000,-4.582000,67,1705.60504,52,67,RESIST/SUPPORT
