Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -10.99
4150.0000,-63.2000,139.2000,380,1012,1392,-0.454023,0.00100000,26.0700,0.890000,-0.100000,0.990000,361.000000,1.845000,-1.162000,20.91,0.00100,44.99,7.32,ACCELERATION
4200.0000,-141.7000,494.7000,1765,3182,4947,-0.286436,0.00100000,25.4500,0.860000,-0.130000,0.990000,321.400000,2.260000,-1.397000,36.79,0.00128,57.39,12.88,ACCELERATION
4250.0000,-113.1000,190.5000,387,1518,1905,-0.593701,0.00100000,24.9800,0.820000,-0.170000,0.990000,285.900000,2.720000,-1.657000,25.28,0.00107,51.90,8.85,ACCELERATION
4255.0000,-68.9000,80.1000,56,745,801,-0.860175,0.00100000,24.9600,0.820000,-0.180000,1.000000,282.700000,2.769000,-1.686000,20.84,0.00099,52.78,7.29,ACCELERATION
4270.0000,-10.1000,56.9000,234,335,569,-0.177504,0.00100000,24.8300,0.800000,-0.190000,0.990000,273.000000,2.909000,-1.764000,13.49,0.00089,31.74,4.72,ACCELERATION
4300.0000,-73.9000,389.5000,1578,2317,3895,-0.189730,0.00100000,24.6600,0.770000,-0.230000,1.000000,255.700000,3.191000,-1.926000,29.23,0.00117,47.64,10.23,ACCELERATION
4350.0000,-66.8000,359.6000,1464,2132,3596,-0.185762,0.00100000,24.4400,0.710000,-0.290000,1.000000,231.800000,3.623000,-2.172000,27.66,0.00114,45.86,9.68,ACCELERATION
4375.0000,-6.5000,115.7000,546,611,1157,-0.056180,0.00100000,24.4100,0.680000,-0.320000,1.000000,222.900000,3.809000,-2.283000,14.76,0.00093,30.30,5.17,ACCELERATION
4385.0000,-91.6000,125.2000,168,1084,1252,-0.731629,0.00100000,24.4000,0.660000,-0.340000,1.000000,219.800000,3.876000,-2.323000,22.45,0.00102,51.48,7.86,ACCELERATION
4400.0000,22.0000,549.4000,2857,2637,5494,0.040044,0.00100000,24.3900,0.640000,-0.360000,1.000000,215.900000,3.966000,-2.377000,32.69,0.00126,23.33,32.69,RESIST/SUPPORT
4450.0000,26.4000,519.2000,1364,1232,2596,0.050847,0.00200000,24.4500,0.560000,-0.430000,0.990000,208.200000,4.177000,-2.510000,30.62,0.00123,22.90,30.62,RESIST/SUPPORT
4475.0000,-132.4000,191.2000,147,809,956,-0.692469,0.00200000,24.5000,0.530000,-0.470000,1.000000,207.500000,4.225000,-2.544000,28.72,0.00117,56.74,10.05,ACCELERATION
4500.0000,317.2000,1063.6000,3452,1866,5318,0.298232,0.00200000,24.6000,0.490000,-0.510000,1.000000,209.000000,4.234000,-2.558000,59.85,0.00165,35.03,59.85,RESIST/SUPPORT
4525.0000,39.8000,149.4000,473,274,747,0.266399,0.00200000,24.6900,0.450000,-0.550000,1.000000,212.400000,4.205000,-2.552000,21.42,0.00108,24.72,21.42,RESIST/SUPPORT
