Strike,Net GEX,Abs Gamma,Call OI,Put OI,Total OI,OI Imbalance,Gamma,Volatility,Call Delta,Put Delta,Delta Spread,Straddle,Vega,Theta,Level Strength,Gradient Width,Break Score,Resistance Score,Side
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FP -2.36
3930.0000,-45.2000,51.6000,32,484,516,-0.875969,0.00100000,24.8800,0.930000,-0.050000,0.980000,201.100000,0.559000,-1.162000,17.51,0.00090,49.45,6.13,ACCELERATION
3950.0000,-57.5000,79.5000,110,685,795,-0.723270,0.00100000,24.0200,0.920000,-0.070000,0.990000,182.800000,0.668000,-1.364000,18.27,0.00091,45.67,6.39,ACCELERATION
3975.0000,0.4000,43.6000,220,216,436,0.009174,0.00100000,22.8800,0.900000,-0.090000,0.990000,160.400000,0.827000,-1.645000,10.43,0.00080,13.86,10.43,RESIST/SUPPORT
4000.0000,-560.0000,1076.4000,1291,4091,5382,-0.520253,0.00200000,21.8700,0.870000,-0.120000,0.990000,139.200000,1.026000,-1.992000,63.14,0.00160,82.75,22.10,ACCELERATION
4025.0000,-40.8000,200.4000,399,603,1002,-0.203593,0.00200000,21.0700,0.830000,-0.170000,1.000000,119.900000,1.266000,-2.419000,19.29,0.00096,30.71,6.75,ACCELERATION
4030.0000,-38.6000,75.8000,93,286,379,-0.509235,0.00200000,20.8500,0.820000,-0.180000,1.000000,116.100000,1.313000,-2.492000,18.44,0.00094,35.59,6.45,ACCELERATION
4035.0000,-33.9000,102.9000,115,228,343,-0.329446,0.00300000,20.6900,0.810000,-0.190000,1.000000,112.600000,1.364000,-2.579000,19.68,0.00099,32.86,6.89,ACCELERATION
4040.0000,-36.3000,114.9000,131,252,383,-0.315927,0.00300000,20.5000,0.800000,-0.200000,1.000000,109.000000,1.414000,-2.658000,20.00,0.00099,32.54,7.00,ACCELERATION
4050.0000,-31.8000,678.0000,1077,1183,2260,-0.046903,0.00300000,20.2000,0.770000,-0.220000,0.990000,102.500000,1.517000,-2.829000,29.37,0.00116,35.79,10.28,ACCELERATION
4060.0000,9.6000,131.4000,235,203,438,0.073059,0.00300000,19.9200,0.750000,-0.250000,1.000000,96.600000,1.618000,-2.995000,17.65,0.00097,10.61,17.65,RESIST/SUPPORT
4075.0000,-98.4000,408.0000,387,633,1020,-0.241176,0.00400000,19.5000,0.700000,-0.300000,1.000000,88.700000,1.759000,-3.216000,30.75,0.00118,39.20,10.76,ACCELERATION
4080.0000,-4.0000,266.4000,328,338,666,-0.015015,0.00400000,19.4000,0.680000,-0.320000,1.000000,86.400000,1.803000,-3.286000,22.07,0.00107,25.62,7.72,ACCELERATION
4085.0000,-118.8000,184.4000,82,379,461,-0.644252,0.00400000,19.2500,0.670000,-0.330000,1.000000,84.200000,1.843000,-3.341000,30.88,0.00116,46.64,10.81,ACCELERATION
4100.0000,119.2000,1113.6000,1541,1243,2784,0.107040,0.00400000,18.9200,0.610000,-0.390000,1.000000,79.100000,1.945000,-3.483000,45.19,0.00139,15.20,45.19,RESIST/SUPPORT
4120.0000,8.8000,172.8000,227,205,432,0.050926,0.00400000,18.5700,0.530000,-0.470000,1.000000,75.300000,2.018000,-3.559000,21.68,0.00105,6.71,21.68,RESIST/SUPPORT
4125.0000,90.0000,416.4000,633,408,1041,0.216138,0.00400000,18.5100,0.510000,-0.490000,1.000000,74.900000,2.023000,-3.557000,31.95,0.00119,12.41,31.95,RESIST/SUPPORT
4150.0000,254.4000,2210.4000,3081,2445,5526,0.115092,0.00400000,18.3100,0.400000,-0.600000,1.000000,76.800000,1.962000,-3.400000,72.70,0.00179,22.44,72.70,RESIST/SUPPORT
4165.0000,83.2000,181.6000,331,123,454,0.458150,0.00400000,18.3000,0.340000,-0.660000,1.000000,80.900000,1.861000,-3.205000,27.55,0.00112,19.13,27.55,RESIST/SUPPORT
4170.0000,46.8000,199.6000,308,191,499,0.234469,0.00400000,18.3200,0.320000,-0.680000,1.000000,82.700000,1.818000,-3.130000,24.34,0.00108,14.23,24.34,RESIST/SUPPORT
4175.0000,10.4000,276.0000,358,332,690,0.037681,0.00400000,18.3000,0.300000,-0.700000,1.000000,84.600000,1.771000,-3.036000,22.46,0.00107,10.20,22.46,RESIST/SUPPORT
