Strike,Net GEX,Abs Gamma
NaN,NaN,NaN
FP 6.41
3650.0,0.0000,0.0000
3700.0,-37519566.0321,40157660.5187
3750.0,-20176537.4626,21577007.3752
3800.0,-23075184.4911,34083529.3859
3850.0,-37486996.9644,37942963.9127
3900.0,-70446893.5134,101713198.5402
3925.0,-9900996.5918,11203759.3013
3950.0,-26315806.7308,33415863.4973
3975.0,-1335331.7772,15340030.9038
4000.0,-106631127.7683,179064734.4136
4025.0,-5829863.1248,32927327.4813
4030.0,-7360609.3084,11073483.0303
4035.0,-3712873.7219,10943206.7594
4040.0,-325690.6774,11268897.4367
4050.0,-10943206.7594,65528964.2852
4075.0,-11757433.4528,28497934.2692
4080.0,195414.4064,18303816.0677
4085.0,-10878068.6239,13744146.5847
4100.0,-12604229.2139,111027951.9127
4120.0,1074779.2353,14818925.8200
4125.0,13027627.0945,37975532.9804
4150.0,2605525.4189,166102245.4546
4165.0,6350968.2086,14949202.0909
4170.0,-651381.3547,11855140.6560
4175.0,-5764724.9893,15665721.5811
4190.0,-7458316.5116,10519808.8788
4200.0,17082476.0276,63069999.6712
4205.0,-5178481.7701,6057846.5989
4225.0,5015636.4314,10454670.7433
4245.0,-3208053.1720,5390180.7103
4250.0,26429798.4679,68867293.7282
4255.0,-13923276.4572,15128331.9635
4260.0,1107348.3030,6285830.0731
4270.0,-3028923.2995,6513813.5472
4280.0,-1367900.8449,11008344.8948
4290.0,1498177.1159,15079478.3619
4300.0,40743903.7380,76407032.9091
4305.0,-667665.8886,19818277.7175
4325.0,-1481892.5820,12425099.3414
4330.0,8581949.3485,11415458.2415
4350.0,8891355.4920,51035729.1426
4355.0,9298468.8387,13760431.1185
4360.0,5064490.0330,10080126.4644
4375.0,0.0000,0.0000
